,index,mean,sd,eti95_lb,eti95_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,player_full_id
0,mu_player[Michael Papierski (657709)],62.07,0.35,61.38,62.77,10261.03,6591.14,1.0,0.0,0.0,Michael Papierski (657709)
1,mu_player[Billy Hamilton (571740)],62.42,0.08,62.26,62.57,3101.0,4319.93,1.0,0.0,0.0,Billy Hamilton (571740)
2,mu_player[Juan Graterol (492802)],62.96,0.31,62.37,63.56,10532.09,6445.3,1.0,0.0,0.0,Juan Graterol (492802)
3,mu_player[Jake Elmore (518653)],62.97,0.31,62.37,63.57,10913.07,6250.72,1.0,0.0,0.0,Jake Elmore (518653)
4,mu_player[Dee Strange-Gordon (543829)],63.11,0.08,62.96,63.27,2546.6,4125.51,1.0,0.0,0.0,Dee Strange-Gordon (543829)
5,mu_player[Ronald Torreyes (591720)],63.22,0.12,62.99,63.45,6161.49,6227.47,1.0,0.0,0.0,Ronald Torreyes (591720)
6,mu_player[Billy Burns (542993)],63.33,0.2,62.93,63.72,9354.33,5760.84,1.0,0.0,0.0,Billy Burns (542993)
7,mu_player[Shane Robinson (453203)],63.46,0.27,62.93,64.0,9925.09,5520.8,1.0,0.0,0.0,Shane Robinson (453203)
8,mu_player[Terrance Gore (605253)],63.47,0.41,62.65,64.27,9422.88,6351.87,1.0,0.0,0.0,Terrance Gore (605253)
9,mu_player[Ben Revere (519184)],63.6,0.15,63.3,63.9,6997.13,6273.92,1.0,0.0,0.0,Ben Revere (519184)
10,mu_player[Pete Kozma (518902)],63.67,0.31,63.07,64.27,9953.54,6260.78,1.0,0.0,0.0,Pete Kozma (518902)
11,mu_player[Ramón Torres (593527)],63.72,0.34,63.06,64.37,10957.85,6026.64,1.0,0.0,0.0,Ramón Torres (593527)
12,mu_player[Tony Kemp (643393)],63.75,0.08,63.59,63.92,3490.01,5204.9,1.0,0.0,0.0,Tony Kemp (643393)
13,mu_player[Ender Inciarte (542255)],63.8,0.07,63.65,63.95,2362.04,4560.3,1.0,0.0,0.0,Ender Inciarte (542255)
14,mu_player[Jacob Wilson (805779)],63.81,0.36,63.1,64.52,9643.78,6503.19,1.0,0.0,0.0,Jacob Wilson (805779)
15,mu_player[Daniel Castro (593495)],63.86,0.25,63.38,64.34,9593.46,6173.71,1.0,0.0,0.0,Daniel Castro (593495)
16,mu_player[Kelby Tomlinson (605509)],63.9,0.17,63.58,64.24,6235.59,6062.56,1.0,0.0,0.0,Kelby Tomlinson (605509)
17,mu_player[Eric Fryer (518700)],64.02,0.25,63.54,64.51,8386.68,6045.41,1.0,0.0,0.0,Eric Fryer (518700)
18,mu_player[Breyvic Valera (591971)],64.07,0.25,63.58,64.56,10199.74,6120.45,1.0,0.0,0.0,Breyvic Valera (591971)
19,mu_player[David Fletcher (664058)],64.15,0.09,63.98,64.32,2725.22,5500.31,1.0,0.0,0.0,David Fletcher (664058)
20,mu_player[Chandler Simpson (802415)],64.15,0.39,63.38,64.9,10349.24,6635.74,1.0,0.0,0.0,Chandler Simpson (802415)
21,mu_player[Darwin Barney (446381)],64.2,0.14,63.93,64.48,5225.28,5447.77,1.0,0.0,0.0,Darwin Barney (446381)
22,mu_player[Garrett Stubbs (596117)],64.22,0.22,63.78,64.65,9292.15,5901.04,1.0,0.0,0.0,Garrett Stubbs (596117)
23,mu_player[Alexi Amarista (506560)],64.29,0.2,63.91,64.68,10269.64,6319.06,1.0,0.0,0.0,Alexi Amarista (506560)
24,mu_player[César Salazar (663967)],64.34,0.59,63.2,65.51,10489.9,6097.45,1.0,0.01,0.0,César Salazar (663967)
25,mu_player[Ryan Hanigan (452672)],64.36,0.25,63.88,64.85,9673.25,6599.23,1.0,0.0,0.0,Ryan Hanigan (452672)
26,mu_player[Cole Figueroa (502676)],64.36,0.71,62.97,65.76,10302.92,6179.78,1.0,0.01,0.0,Cole Figueroa (502676)
27,mu_player[Mark Payton (592622)],64.39,0.39,63.63,65.15,10339.91,6315.26,1.0,0.0,0.0,Mark Payton (592622)
28,mu_player[Ty Kelly (571841)],64.44,0.28,63.89,65.0,9782.48,5755.52,1.0,0.0,0.0,Ty Kelly (571841)
29,mu_player[Gavin Cecchini (608325)],64.49,0.38,63.75,65.23,11509.24,5975.2,1.0,0.0,0.0,Gavin Cecchini (608325)
30,mu_player[Carlos Tocci (624636)],64.52,0.31,63.93,65.12,9601.79,6018.81,1.0,0.0,0.0,Carlos Tocci (624636)
31,mu_player[Paul Janish (457926)],64.54,0.44,63.69,65.4,11262.23,6634.73,1.0,0.0,0.0,Paul Janish (457926)
32,mu_player[Tyler Heineman (623168)],64.54,0.21,64.14,64.95,8645.17,6115.46,1.0,0.0,0.0,Tyler Heineman (623168)
33,mu_player[Yonny Hernández (660634)],64.59,0.28,64.05,65.14,9784.38,5672.21,1.0,0.0,0.0,Yonny Hernández (660634)
34,mu_player[Eric Sogard (519299)],64.6,0.11,64.38,64.82,7803.38,6036.29,1.0,0.0,0.0,Eric Sogard (519299)
35,mu_player[Jose Herrera (645444)],64.61,0.25,64.12,65.1,10672.61,6292.22,1.0,0.0,0.0,Jose Herrera (645444)
36,mu_player[Erick Aybar (430947)],64.76,0.13,64.52,65.01,6432.4,5976.79,1.0,0.0,0.0,Erick Aybar (430947)
37,mu_player[Bryan Holaday (592407)],64.78,0.16,64.48,65.1,9108.19,5612.78,1.0,0.0,0.0,Bryan Holaday (592407)
38,mu_player[Rafael Bautista (622441)],64.82,0.63,63.57,66.06,11125.94,5877.96,1.0,0.01,0.0,Rafael Bautista (622441)
39,mu_player[Chris Stewart (455755)],64.83,0.24,64.37,65.31,10920.76,6200.9,1.0,0.0,0.0,Chris Stewart (455755)
40,mu_player[Jake Hager (606993)],64.99,0.36,64.28,65.7,10250.02,6221.74,1.0,0.0,0.0,Jake Hager (606993)
41,mu_player[Steven Kwan (680757)],65.01,0.11,64.79,65.22,4841.32,5200.88,1.0,0.0,0.0,Steven Kwan (680757)
42,mu_player[Patrick Mazeika (664850)],65.01,0.29,64.45,65.57,9525.82,5591.44,1.0,0.0,0.0,Patrick Mazeika (664850)
43,mu_player[Tony Wolters (547172)],65.02,0.11,64.81,65.23,4011.22,5005.61,1.0,0.0,0.0,Tony Wolters (547172)
44,mu_player[Shawn O'Malley (502523)],65.05,0.24,64.58,65.52,9735.5,5984.9,1.0,0.0,0.0,Shawn O'Malley (502523)
45,mu_player[Jesmuel Valentín (621044)],65.08,0.39,64.33,65.85,10509.66,6480.89,1.0,0.0,0.0,Jesmuel Valentín (621044)
